postUrl,imgUrl,type,postContent,likeCount,commentCount,repostCount,postDate,action,author,authorUrl,profileUrl,timestamp,viewCount,postTimestamp,videoUrl,sharedPostUrl,sharedJobUrl,approximateDate
https://www.linkedin.com/feed/update/urn:li:activity:7383527774176669696,https://media.licdn.com/dms/image/v2/D5622AQGoAsrcb9tF-Q/feedshare-shrink_2048_1536/B56ZnePUR7JYAw-/0/1760370196935?e=1763596800&v=beta&t=55NfNYtpKIAY7CjRRFNGSJRV1tjf3KmUV6C_12_6FA4,Image,"With AI Agents running amok at the Global Fintech Festival in Mumbai last week, Rootflo's AI Middleware hit multiple sweet spots for Banks, NBFCs & Fintechs alike!

Our star was the AI Gold Audit Agent - built for Bharat from the ground up with the stalwarts in the gold loan business.

But why we really stood apart is that we understood the biggest concern that Banks, NBFCs & Fintechs have in highly regulated market - #dataSecurity, especially when it comes to AI model interactions.

Our AI Middleware was the answer most were looking for - with the ability to build simpler AI agents for contact centre automations to highly complex agents like our AI Gold Audit Agent (where we use 5 different proprietary SLMs & 2 LLMs in a single workflow). And all of this deployed in your own Virtual Private Clouds in a single click.

And to top it all off, we were honored to be one of the few booths that our Indian Prime Minister, Shri Narendra Modi visited! 
(couldn't get hold of images of the same yet, but the video is when he's just passing by our booth)",133,16,5,2d,Post,Nitin K Shaji,https://www.linkedin.com/in/nitin-shaji,https://www.linkedin.com/in/nitin-shaji/,2025-10-14T15:26:00.000Z,,2025-10-13T00:00:00.000Z,,,,2025-10-14
https://www.linkedin.com/feed/update/urn:li:activity:7380524660750409728,https://media.licdn.com/dms/image/v2/D5622AQHTzmd3TqDsrw/feedshare-shrink_800/B56ZmzkD_BG0Ag-/0/1759654201681?e=1763596800&v=beta&t=txyQRdlKqlEaFn7eLU7MXBifTgUML55YuN0jQTpRfnU,Image,"✨Excited to share that Rootflo been selected as one of the top 10 fintechs building #AI for #Bharat for the upcoming Global Fintech Fest. 

The Bharat AI Experience Zone is curated by National Payments Corporation Of India (NPCI) & NVIDIA, and it's a privilege to be sharing our impact alongside upcoming fintechs and heavyweights of the industry.

If you're at GFF on Oct 7th-9th, please do come visit us at our booth at the Jasmine Expo 1 on the 3rd floor of the Jio World Centre. 

#GFF2025

Ashik Rahman Vishnu Satis Shubhanga Prasad Chiranth Patil Sidd Gandhi Abhishant Pant Pankaj Singh Prasanna Krishnamoorthy Gokul Kunnel Subash Bose Shekar Nair Thiyagarajan Maruthavanan (Rajan) Fahad VM",123,8,6,1w,Post,Nitin K Shaji,https://www.linkedin.com/in/nitin-shaji,https://www.linkedin.com/in/nitin-shaji/,2025-10-09T15:26:00.000Z,,2025-10-05T00:00:00.000Z,,,,2025-10-09
https://www.linkedin.com/feed/update/urn:li:activity:7378699837829017601,https://media.licdn.com/dms/image/v2/D5605AQHnu88vV6UhvA/videocover-high/B56ZmWlK5LKEB8-/0/1759167959374?e=1761213600&v=beta&t=1acyCRl9lf6ZLXtyicsMp17RUiahN92pbXhHszpe-hY,Video (LinkedIn Source),"And now the floodgates are open. 
Excited to see how this market will evolve, and the gold rush it's going to create! ✨",5,0,0,2w,Post,Nitin K Shaji,https://www.linkedin.com/in/nitin-shaji,https://www.linkedin.com/in/nitin-shaji/,2025-10-01T15:26:00.000Z,,2025-09-30T00:00:00.000Z,blob:https://www.linkedin.com/d35d6ca8-9605-4fa0-bb00-805ccee5b330,https://www.linkedin.com/feed/update/urn:li:activity:7378485227490480128/,,2025-10-02
https://www.linkedin.com/feed/update/urn:li:activity:7378380604834369537,,Document,"I just booked my tickets to be at #CapitalConnect2025 and the #GlobalFintechFest in #Mumbai next month. This will be my 4th year in a row attending this festival of fintech! It made me reflect on how far we’ve come as an ecosystem. 

Back in 2016, at YES BANK, I had the privilege of working with Aseem Gandhi, Anup Purohit, Ritesh. Pai, Amit Shah and others to build what was possibly #India’s first #fintech accelerator. Around the same time, Abhishant Pant was propelling the #GovtofMaharashtra fintech program lead by Suniti Nanda and many more.

Fast forward to today, the progress is undeniable. But so is the opportunity — to move beyond payments, and to shape how credit, wealth, and insurance can truly impact lives, especially in the era of AI. Feels like we've just seen the first decade of digital entrepreneurship and capital flow into Fintech in India, and the next two are going to be wild!

👉 As we head into Mumbai, I’d love to hear your perspective:
 Which fintech white space do you believe remains most under-addressed today — payments, credit, wealth, or insurance?

Join us for this conversation (and more) at #CapitalConnect2025 on 6th October at MCA, BKC.

#Fintech #India #CapitalConnect2025 #GFF2025

Pankaj Singh Abhishant Pant Sagrika Shah Chiranth Patil Naveen Kukreja Rajat Monga Ashish Singhal Mayank Goyal, CFA Nikhil Shankar Dulhani Pratap Singh Vivek Belgavi Abhijit Singh Asif CH Aditya Tulsian Kriyang Karia Alankar Tripathi Nilesh Gokral",48,2,3,3w,Nitin K Shaji reposted this,Shubhanga Prasad,https://www.linkedin.com/in/shubhangaprasad,https://www.linkedin.com/in/nitin-shaji/,2025-09-24T15:26:00.000Z,,2025-09-29T00:00:00.000Z,,,,2025-09-25
https://www.linkedin.com/feed/update/urn:li:activity:7373616407013613569,https://media.licdn.com/dms/image/v2/D5622AQE4l2lFRd_h8A/feedshare-shrink_1280/B56ZlRZC3OJ8As-/0/1758007144380?e=1763596800&v=beta&t=UbcjrFJLXydzCwOmnyM_4IejbwThI2HpAvYQwvtGKsY,Image,"Why isn’t #GenAI delivering the ROI everyone expected? 😅 Here’s what I’m seeing on the ground (esp. for BFSI):

- Most companies are stuck at “horizontal copilots” (think: chatbots and surface-level automations). Cool demos, but… business impact? Meh.

- The action’s in agentic AI: actual agents that dive into deep, complex workflows and get real stuff done, not just answer questions.

- But it’s not about just plugging in Vertical AI to a data stream —it’s about reimagining the way work and decisions flow, with agents(human & AI) at the center.

- For BFSI, this shift is even more urgent. Complex processes, heavy compliance, non-stop risk and fraud management—only robust AI middleware can handle that at scale.

AI middleware will become your “operating system” for all these agents: secure, modular, governed, and agile enough for strict BFSI requirements.

Anyone else seeing this play out? Or stuck in the land of copilots? Let’s talk! 💬
#AI #GenAI #AgenticAI #BFSI #Middleware #Transformation",122,5,0,1mo,Post,Nitin K Shaji,https://www.linkedin.com/in/nitin-shaji,https://www.linkedin.com/in/nitin-shaji/,2025-09-16T15:26:00.000Z,,2025-09-16T00:00:00.000Z,,,,2025-09-16
https://www.linkedin.com/feed/update/urn:li:activity:7364250382467821570,https://media.licdn.com/dms/image/v2/D5622AQFDGPP51OeCFg/feedshare-shrink_800/B56ZjCUryNHAAg-/0/1755606861501?e=1763596800&v=beta&t=ABgH7--Vix8zSSXPb-RQ5CVVvmT5MvHQJgVm7OE0DoE,Image,"To all fintech founders out there: 
If you're early in your journey, this is a great opportunity to showcase your startup to a large panel of investors!

And for us Rootflo, last year's #GFF Demo Day was a great launchpad not just for our fundraising efforts but also to boost our customer outreach. 

Not to mention a great chance to meet the up & coming players in #fintech

Pankaj Singh Abhishant Pant Sagrika Shah Husain Rangoonwala Ashik Rahman Vishnu Satis",20,0,0,1mo,Post,Nitin K Shaji,https://www.linkedin.com/in/nitin-shaji,https://www.linkedin.com/in/nitin-shaji/,2025-09-16T15:26:00.000Z,,2025-08-21T00:00:00.000Z,,https://www.linkedin.com/feed/update/urn:li:activity:7363548893533360128/,,2025-09-16
https://www.linkedin.com/feed/update/urn:li:activity:7353072570276958208,,Text,"Here's an opportunity to directly work with Ashik Rahman and help Rootflo launch it's rocketship 🚀

If you love selling Enterprise SaaS and can already imagine how #GenAI is going to transform BFSI, this is the calling to join us on our mission!

#hiring #startup #enterprise #sales",33,2,2,2mo,Post,Nitin K Shaji,https://www.linkedin.com/in/nitin-shaji,https://www.linkedin.com/in/nitin-shaji/,2025-08-17T15:26:00.000Z,,2025-07-21T00:00:00.000Z,,,https://www.linkedin.com/jobs/view/4270264197/,2025-08-17
https://www.linkedin.com/feed/update/urn:li:activity:7346089868264972288,https://media.licdn.com/dms/image/v2/D5622AQGzhu6DC2QYzQ/feedshare-shrink_800/B56ZfKNzk4HoAg-/0/1751444307288?e=1763596800&v=beta&t=L0rKIlNon-OIupa_jzyC3Hpk-HFbPNKhIaCitrXYWG4,Image,"It's been hard to imagine that 6 months of 2025 is over already.

There's been so much happening around the world, and probably has consumed all of us in some way. 

But it's a good time to reflect and take a pause.

Here's my pause:
- Lots of people were suffering across the world, and it did take a toll on lot of us mentally
- We were all chasing some sort of stability when there was so much volatility around us
- And among all this chaos, we at Rootflo, made some massive strides that we're proud off but shared very less of. More on that later.

That said, wishing all of you another 6 months of health, stability & happiness!

PS: Here's a pic from our team's weekend getaway some weeks back, where we decided to take a pause.",213,4,4,3mo,Post,Nitin K Shaji,https://www.linkedin.com/in/nitin-shaji,https://www.linkedin.com/in/nitin-shaji/,2025-07-18T15:26:00.000Z,,2025-07-02T00:00:00.000Z,,,,2025-07-18
https://www.linkedin.com/feed/update/urn:li:activity:7343281839287033859,,Text,"We're looking for someone who loves digging into numbers and finding the stories they tell!

What you'll get:
🔹Front-row seat to AI innovation
🔹Direct impact on product decisions
🔹Fast-paced startup energy

If you're passionate about data and want to help shape the future of AI, let's talk!
Apply via the link below👇
#DataAnalyst #AIStartup #Hiring #StartupJobs",53,12,2,3mo,Post,Nitin K Shaji,https://www.linkedin.com/in/nitin-shaji,https://www.linkedin.com/in/nitin-shaji/,2025-07-18T15:26:00.000Z,,2025-06-24T00:00:00.000Z,,,https://www.linkedin.com/jobs/view/4255548539/,2025-07-18
https://www.linkedin.com/feed/update/urn:li:activity:7328009996523229184,,Text,"Well, this news is grounding, for the right reasons!
Klarna reverts back to human-touch after attempting to entirely automate their contact centers, due to quality issues.

But I'm sure there's been a lot of gains made in that progress, not just for Klarna, but for everyone watching from the outside.
For one, Klarna has probably automated more than 80% of their customer queries, and tested the limits of what's possible with the existing suite of SOTA models. This will still mean a lot of cost savings for them, and is still the right path to take in 2025.

That said, it does open the doors for the actual issues that we've been recommending to our customers from day one. Here's a couple of obvious ones:

1. Humans aren't as comfortable talking to bots as they are to humans. Just like customers escalate issues from call center executives to managers when they get frustrated, they will continue to escalate things from AI agents to human agents. And this shortcut will get engrained into our muscle memory soon enough.

2. The best case scenario is that 80-90% of customer queries be automated through AI agents assuming they are mostly redundant queries. That said, this requires building a large centralized intelligence engine that gives AI models really good context of the entire business, previous issues faced by customers, and who the customer is to be really efficient. In my research, I haven't seen a company build it with the depth.


Link to the article in the comments.",36,5,0,5mo,Post,Nitin K Shaji,https://www.linkedin.com/in/nitin-shaji,https://www.linkedin.com/in/nitin-shaji/,2025-05-19T15:26:00.000Z,,2025-05-13T00:00:00.000Z,,,,2025-05-19
