postUrl,imgUrl,type,postContent,likeCount,commentCount,repostCount,postDate,action,author,authorUrl,profileUrl,timestamp,viewCount,postTimestamp,videoUrl,sharedPostUrl,approximateDate
https://www.linkedin.com/feed/update/urn:li:activity:7384327468989448192,https://media.licdn.com/dms/image/v2/D4D22AQFvO_9EizuPdg/feedshare-shrink_800/B4DZnnJwfOGQAg-/0/1760519719553?e=1762992000&v=beta&t=_Wg9VXOK4Fwf95FNuJx0RHs2ZW44mjLP5gbqlSxkOPc,Image,"We secured a ₹10 lakh government grant —
 but only after fixing one thing: our pitch deck.

The Backstory :

Our first deck was a mess.

15+ slides. Too much jargon. Zero story.

Investors nodded politely.
Grant reviewers skimmed and moved on.

We thought we had a funding problem.
Turns out, we had a storytelling problem.

The Turning Point: 

So I went deep.
I studied Airbnb’s original 2008 deck, Uber’s scrappy pitch, Facebook’s first slides, and more.

I mapped out the patterns, the mistakes, the formulas that actually got funded.

Then we rebuilt our pitch deck from scratch.
This time it clicked.

That one change helped us unlock a ₹10 lakh grant that powered our early growth.

 To help budding founders, I’ve compiled everything I learned into one resource:
 👉 The Founder’s Pitch Deck Playbook 📔

This extensive playbook can save you months of trial and error.

Whether you are a student going for a Pitching Competition or someone trying to raise money through grants/equity, this guide will surely give you the clarity you need.

Comment “Pitch” and I’ll send it over to you.",15,5,2,1w,Siddharth Manjrekar reposted this,Pratham Shankwalker,https://www.linkedin.com/in/prathamshankwalker,https://www.linkedin.com/in/thesidman/,2025-10-18T17:54:00.000Z,,2025-10-16T00:00:00.000Z,,,2025-10-18
https://www.linkedin.com/feed/update/urn:li:activity:7384202552940314625,https://media.licdn.com/dms/image/v2/D4D22AQH2PTTgeFbIpw/feedshare-shrink_1280/B4DZnn1F10KsAs-/0/1760531079157?e=1762992000&v=beta&t=JvtjCBW1JHkBHPvVk67retOTwSldalf8nnNfKvbU2U8,Image,"You’re not going to “open” a payments app anymore, because you’ll just tell your AI to pay.

Razorpay, the startup that has quietly powered the backbone of India’s digital commerce for a decade
Just made its first big move into the B2C world.

At the Global Fintech Fest 2025, they unveiled 'Agentic Payments'.
India’s first AI-powered payment system that lets you shop directly inside ChatGPT.

- No app switching.
- No PIN entry.
- No friction.

Built in partnership with National Payments Corporation Of India (NPCI) and OpenAI, it uses innovations like UPI Reserve Pay (to pre-block funds for future purchases) and UPI Circle (to delegate authentication to your AI assistant).

You set your spending limits.
Your AI handles the rest.

For now, it’s live with bigbasket and Vi (Vodafone), built on airtel and Axis Bank’s infra,
but the bigger story is what’s next. Razorpay is already testing Gemini and Claude integrations.

That means your AI assistant could soon talk, decide, and pay across any app or platform!

This isn’t just a product launch.

It’s the start of autonomous AI commerce, where transactions happen at the speed of conversation.

Hats off to Harshil Mathur and the Razorpay team for pulling off something this bold, and this real.",8,0,0,1w,Post,Siddharth Manjrekar,https://www.linkedin.com/in/thesidman,https://www.linkedin.com/in/thesidman/,2025-10-18T17:54:00.000Z,,2025-10-15T00:00:00.000Z,,,2025-10-18
https://www.linkedin.com/feed/update/urn:li:activity:7383713167677329409,https://media.licdn.com/dms/image/v2/D4D22AQHCuvQuuy1DaQ/feedshare-shrink_800/B4DZnfmIe4HwAg-/0/1760392941077?e=1762992000&v=beta&t=aBbhMsPpCtM-ec6afrVpKcMY6p2QDS-7gdXPYdSrBDw,Image,"I rushed out midway from the toilet while peeing… to meet Vijay Shekhar Sharma
No, this isn’t a fancy hook. This actually happened last week at GFF, and it’s a story.

I know for most of you this might sound funny or just weird, but for me, meeting someone like VSS was that important, not to have a transaction of any sort, but maybe to convince myself that all my heroes are very similar to me, and that I can surely be where they are someday.

After the flashy launch of Paytm’s new AI Soundbox (which deserves its own post), my co-founder Pratham and I decided to catch Shankar Mahadevan’s show for a bit.

Halfway through, we left the show and we were heading to a mixer nearby, but before that, a natural pit stop, the restroom.

I’m barely getting started when I hear Pratham Shankwalker yelling my name from the door.

And I’m like, “Bro, what now?!”

I rushed out, and the moment our eyes met, he goes, “Vijay Shekhar Sharma is here…”

And immediately turns to a guy nearby asking, “Kya ye vahi hai kya?”

I didn’t even think twice. Quickly washed my hands, wiped them dry, and sprinted out.

Thankfully, he was still there people around clicking pictures, a small crowd forming.

We waited our turn, and when it came, all I said was, “Big fan of you, sir. It’s amazing how you’re still involved in product decisions at Paytm at this scale. Keep inspiring us.”

That’s it.

No pitch. No name drop. No “we’re building this startup” moment.

Just pure fan energy.

Because honestly, I’ve always seen VSS as the guy who started the UPI movement, the one who made QR payments mainstream. Maybe not the only contributor, but definitely one of the most significant ones.

And I’m genuinely a huge fan of Product CEOs building things at that scale. I’m very much aware of things like ""the Product CEO Paradox"" and it takes a massive amount of effort, bandwidth, and invisible work to actually maintain that kind of growth.

For me, a 23-year-old guy from Bicholim (a small town in Goa), meeting VSS was a big deal.

I believe meeting your heroes is really important, because that’s when you realize you can try becoming better, maybe even bigger, than them.",663,11,1,1w,Post,Siddharth Manjrekar,https://www.linkedin.com/in/thesidman,https://www.linkedin.com/in/thesidman/,2025-10-18T17:54:00.000Z,,2025-10-14T00:00:00.000Z,,,2025-10-18
https://www.linkedin.com/feed/update/urn:li:activity:7382361178305544192,https://media.licdn.com/dms/image/v2/D4D22AQEUDM9aHpAbhA/feedshare-shrink_800/B4DZnNqXWjIcAg-/0/1760092060869?e=1762992000&v=beta&t=5mi11hZPKNc-i_kuj-BrmappnwXfFlwhJUk82GKbgpA,Image,"Anthropic just picked Bengaluru for its first India office.
Only its second in the entire Indo-Pacific, after Tokyo.

And that’s no random choice.
It’s a recognition of how fast India’s AI backbone is evolving.

Bengaluru today is one of the top global hubs for AI talent!
with home to over 1 lakh AI professionals,
and contributing nearly 50% of India’s total AI workforce.

According to the Global Startup Ecosystem Report 2025,
Bengaluru ranks #5 globally among AI-focused startup cities,
It’s also #26 in the Global AI City Index 2025!

a sign of strong progress, but also of how much potential is still untapped.

Anthropic, the US-based team behind Claude, one of the world’s leading AI models, is betting on that potential.

And, here’s why it matters:
Talent density: Bengaluru’s massive GCC (Global Capability Center) network gives Anthropic immediate access to world-class engineers, researchers, and data talent.

Policy tailwinds: Karnataka’s Startup Policy now offers grant-in-aid for DeepTech founders, alongside new skilling initiatives and the LEAP program to accelerate AI R&D.

Ecosystem maturity: The city’s startup ecosystem may rank #14, but it punches far above its weight in AI innovation and research output.

This move isn’t just about expansion, it’s about integration.

Anthropic brings the models.
India brings the scale, diversity, and context that AI needs to evolve.

If Silicon Valley builds intelligence,
Bengaluru will teach it to understand the world.",6,0,0,2w,Post,Siddharth Manjrekar,https://www.linkedin.com/in/thesidman,https://www.linkedin.com/in/thesidman/,2025-10-10T17:54:00.000Z,,2025-10-10T00:00:00.000Z,,,2025-10-11
https://www.linkedin.com/feed/update/urn:li:activity:7380300890852806657,https://media.licdn.com/dms/image/v2/D4D22AQHf31eJSRqrQw/feedshare-shrink_800/B4DZmqX1CgHsAg-/0/1759500002708?e=1762992000&v=beta&t=XWEz5rOfwXukNBNiCqKac1-z9KO0RaFcc2ScyDQ9zuc,Image,"Perplexity turned Comet GTM strategy into a $200,000 chess tournament. And it might be the smartest marketing move of the year.

The AI company launched their new Comet browser this week, and instead of traditional marketing, they partnered with Chess.com to host the Comet Open, a high-stakes tournament with a $200,000 prize pool.

Chess players are analytical thinkers, early adopters, and exactly the demographic that values AI-powered tools. 

As Perplexity's VP of Business Ryan Foutty noted: ""Chess players are intellectually engaged and open to discovery"" the perfect users for an AI-integrated browser.

The tournament runs October 11-12 and October 18-19, requiring participants to use Comet. With Chess.com's massive global user base, this creates immediate adoption and authentic product testing.

Now this is a brilliant example of partnership-led growth.

Perplexity invested $200,000 in prize money rather than traditional ad spend, creating mutual value where participants gain tournament opportunities while Perplexity gets authentic product usage. The additional 30 days of Chess.com premium features (unlimited puzzles, ad-free playing, game analysis) removes friction and builds goodwill. This approach transforms users from passive ad viewers into active stakeholders.",5,0,1,3w,Siddharth Manjrekar reposted this,Siddharth Manjrekar,https://www.linkedin.com/in/thesidman,https://www.linkedin.com/in/thesidman/,2025-10-03T17:54:00.000Z,,2025-10-04T00:00:00.000Z,,,2025-10-04
https://www.linkedin.com/feed/update/urn:li:activity:7379830218326179840,https://media.licdn.com/dms/image/v2/D4D22AQHg6_7bjCh9wQ/feedshare-shrink_800/B4DZmUKoN5JQAg-/0/1759127439541?e=1762992000&v=beta&t=mmalLFpfZzRtHpVAYW7Gv94Zwf8nF_dkc51i1OAN1Zc,Image,"When both Sam Altman and Mark Zuckerberg call it a “bubble”…
you know AI might be repeating history.

I was born during the dot com bubble

but I still remember the stories I have heard
Everyone was pouring money into “the internet.”
And then, overnight, billions vanished.

Sam Altman says AI today feels similar.
Too much hype, too much capital, too fast.

He even admitted many people will lose their shirts in this wave.

But then comes Zuckerberg.
And his take surprised me.

He agrees it’s a bubble.

But he justifies Meta’s billions in AI R&D with one line:
“If we end up misspending, it will still be on building the future.”

That’s conviction.
Because here’s the reality:

Some startups will die.
Some investors will lose.

But the infrastructure, models, and breakthroughs left behind… will fuel the next decade.

Just like the dot-com crash didn’t kill the internet.
It actually cleared the noise for Amazon, Google, and Facebook to rise.

And that’s the paradox of bubbles:
They destroy, but they also create.

As founders, we’re stuck in the middle.
Do you risk riding the bubble?
Or do you play safe and wait for the dust to settle?

For me, the lesson is simple:
If you’re building, don’t just chase the hype.
Build for the inevitable world after the bubble bursts.

Because that’s where the real giants are born.

#OpenAI #Meta #AI #ArtificialIntelligence #AIbubble #Tech #Technology",15,5,1,3w,Siddharth Manjrekar reposted this,Siddharth Manjrekar,https://www.linkedin.com/in/thesidman,https://www.linkedin.com/in/thesidman/,2025-10-03T17:54:00.000Z,,2025-10-03T00:00:00.000Z,,,2025-10-04
https://www.linkedin.com/feed/update/urn:li:activity:7379830151884238848,https://media.licdn.com/dms/image/v2/D4D22AQGTSXZqse6aXg/feedshare-shrink_1280/B4DZmcvRQNJgAs-/0/1759271263137?e=1762992000&v=beta&t=R7J_IrkwN0ycza6bdTGmzUlEHJ7IHFfCwHwgwjB0HCs,Image,"Most founders see regulation as brakes. I see it as a map. Because if you know the map, you can drive faster and avoid crashing into walls you didn’t even know were there.

Last month, I got pulled into a debate:
 One side: “AGI is inevitable—nothing can stop it.”
 Other side: “Any legislation will kill the industry.”

Both sound strong… but both are wrong.

Here’s the reality:

- Europe: AI Act bans untargeted biometric scraping, classifies high-risk systems (health, hiring, credit, safety) for governance, logging, testing, and monitoring. Frontier models need evals and incident reporting.

- US: Executive guidance on red-teaming, watermarking, compute limits. FTC, CFPB, FDA enforcing against false claims, discrimination, unsafe systems. States like Colorado passing laws.

- UK, Canada, Japan: Standards-first, ISO 23894 & 42001 becoming the SOC 2 of AI.

- China: Real-name checks, provenance, watermarks, liability rules.

- India: Data protection + sector regulators. Enterprise buyers already demand proof of compliance.

What I think is, regulation won’t kill AI. Most rules just ask you to know your data, test your models, avoid harm, and prove it. And no “AGI inevitability” will save you if you fail risk reviews.

Smart guardrails are oxygen, not handcuffs. They make distribution smoother, reduce founder risk, and let you ship responsibly.

If you’re building AI, don’t wait for laws. Ship your product and proof it’s safe, fair, and fixable.

Question for founders: What’s the one governance artifact your biggest customer asked for that you didn’t have ready?",6,0,1,3w,Siddharth Manjrekar reposted this,Siddharth Manjrekar,https://www.linkedin.com/in/thesidman,https://www.linkedin.com/in/thesidman/,2025-10-03T17:54:00.000Z,,2025-10-03T00:00:00.000Z,,,2025-10-04
https://www.linkedin.com/feed/update/urn:li:activity:7379829999614394371,https://media.licdn.com/dms/image/v2/D4D22AQHnyZJ1ory3yA/feedshare-shrink_800/B4DZmJjuM7JcAg-/0/1758949468409?e=1762992000&v=beta&t=kTY3pigjlPKbXp1wxsZ658zELgJZMoApmlUm9ZPREC4,Image,"Sam Altman just said your job might not survive AI.

We like to believe disruption spares us.
That it’ll hit someone else first.

But last week, Altman was blunt:
Some jobs will absolutely be lost to AI.

It reminded me of a late-night chat I had with a founder friend.
He runs a 40-person support team.

And he told me,half joking-half serious
“If an AI could handle 60% of this, I’d cut half my team tomorrow.”

That was 2023.
While it did sound like distant future talk.
But today? It’s reality.

Customer service bots don’t sleep.
Data entry tools don’t make mistakes.
Workflows that once needed interns finish in seconds.

Altman wasn’t just painting a dystopia.
He also said entirely new categories of work will emerge.

Roles we can’t yet imagine,
just like “social media manager” didn’t exist in 2005.

The uncomfortable truth is this:
- The jobs that get automated vanish fast.
- The new ones take time to appear.

And the winners are those who retrain before the rest.

So maybe the question isn’t “Will AI take my job?”
It’s “Am I preparing for the jobs AI can’t touch yet?”

Because in the end, people won’t lose to AI.
They’ll lose to humans who know how to use it better.

#Founder #AI #OpenAI #ArtificialIntelligence #Technology",6,0,1,4w,Siddharth Manjrekar reposted this,Siddharth Manjrekar,https://www.linkedin.com/in/thesidman,https://www.linkedin.com/in/thesidman/,2025-09-25T17:54:00.000Z,,2025-10-03T00:00:00.000Z,,,2025-09-27
https://www.linkedin.com/feed/update/urn:li:activity:7379828011812089856,https://media.licdn.com/dms/image/v2/D4D22AQF3ieiQtEzNpA/feedshare-shrink_1280/B4DZmmo59TJYAs-/0/1759437366771?e=1762992000&v=beta&t=XhOIzmtKvIHywL3n8ifX6kw4yRGonOdwFnZbuN9iZbo,Image,"SEO was born with Google. Performance marketing was born with Facebook. Now, a new discipline is being born with AI conversations at its core. (If you are an SEO or Performance Marketing expert, this will be your path to evolve.) (DO NOT SKIP THIS!!)

A New Marketing Discipline is Being Born Right Now

Meta's announcement this week isn't just a policy update, it's signaling the emergence of an entirely new marketing specialization.

Which existed for last few months, but it will surely be raised to a different delta now.

We're witnessing the convergence of three critical domains:
- Conversational AI interactions (chatbots, voice assistants, AI tools)
- Performance marketing (ad targeting, ROAS optimization, audience segmentation)
- SEO principles (search intent, keyword optimization, content discoverability)

The role I see emerging something similar to AI Interaction Performance Optimizer.

Abit of performance marketer, abit of SEO guru, and a bit of therapist ;D

The core focus of this job role might look like, Optimize how brands show up in AI conversations, When users chat with Meta AI, ChatGPT, Perplexity, or Google's AI tools about their needs, these specialists ensure brands get mentioned, recommended, and contextually positioned.

They'll combine:
- Understanding user intent in conversational queries (SEO thinking)
- Optimizing for AI-driven ad targeting based on chat interactions (performance marketing expertise)
- Creating content that AI systems reference and recommend (a completely new skill)

Meta has over 1 billion monthly users engaging with its AI tools. By mid-December, those conversations become targeting signals for ads. Google is adding ads to AI-powered search features. OpenAI is integrating shopping into ChatGPT.

The professionals sitting at an intersection of conversational AI interactions, search optimization, and paid media performance will be indispensable.

Traditional SEO optimized for Google's algorithms. 
Traditional performance marketers optimized for pixel data and click behavior.

This new role optimizes for how people naturally talk to AI and how that translates into visibility, recommendations, and conversions.

If you're deep in SEO or performance marketing, this is your evolution path. 

The brands that win in 2026 won't just rank in search they'll be the answers AI gives when users ask questions.",3,0,1,3w,Siddharth Manjrekar reposted this,Siddharth Manjrekar,https://www.linkedin.com/in/thesidman,https://www.linkedin.com/in/thesidman/,2025-10-03T17:54:00.000Z,,2025-10-03T00:00:00.000Z,,,2025-10-04
https://www.linkedin.com/feed/update/urn:li:activity:7379822548911321088,https://media.licdn.com/dms/image/v2/D4D22AQE7f0H41H9tMw/feedshare-shrink_2048_1536/B4DZmplfxbJAAw-/0/1759486804717?e=1762992000&v=beta&t=63iMMnRPh51FiN_avd-wtOAy21LlJWHfQykZcUJaNfM,Image,"For the first time ever, India’s gig workers are getting access to structured retirement savings. And 30,000 Zomato delivery partners signed up within just 72 hours.

Zomato partnered with HDFC Pension to launch the 'NPS Platform Workers Model', giving delivery partners access to structured retirement savings for the very first time.

Over 30,000 delivery partners signed up for their Permanent Retirement Account Numbers (PRANs) within the first 72 hours. This rapid adoption highlights the demand for accessible financial security at scale.

The government is also about to launch a new mandatory pension scheme requiring platform aggregators including Swiggy, Uber, Blinkit, and others to contribute 2% of each gig worker's earnings into their EPFO (Employee Provident Fund Organisation) accounts. Notably, this contribution is in addition to workers’ income and will not be deducted from their wages.

What this means:
- Worker retention will improve as platform work becomes sustainable long-term, not just temporary income
- Benefit portability across platforms via e-Shram means workers can switch between Zomato, Swiggy, and Uber without losing coverage
- Formalization of the sector with universal account numbers and better tracking
- Service costs may rise as platforms pass on pension expenses to consumers
- Implementation details matter, workers need assurance that take-home pay won't decrease

Currently, only 8% of gig workers have health insurance and less than 2% save for retirement. These schemes change that fundamentally.

What's your take on this shift? Would love to hear perspectives from fellow industry watchers, economists, and experts!",5,0,0,3w,Post,Siddharth Manjrekar,https://www.linkedin.com/in/thesidman,https://www.linkedin.com/in/thesidman/,2025-10-03T17:54:00.000Z,,2025-10-03T00:00:00.000Z,,,2025-10-04
