postUrl,imgUrl,postContent,type,likeCount,commentCount,repostCount,postDate,action,author,authorUrl,profileUrl,timestamp,viewCount,postTimestamp,videoUrl,sharedPostUrl,approximateDate
https://www.linkedin.com/feed/update/urn:li:activity:7358774865044148227,,"Choosing a generative voice AI platform shouldn’t feel like guesswork.

AI is transforming customer experience, sales, and operations faster than ever
—but for most teams, evaluating platforms and vendors still feels complex and unclear.

At VoiceOwl, we believe it’s time for a better way to choose.

That’s why we put together a clear framework to help you cut through the noise and evaluate what really matters in an agentic AI platform—especially when voice and action are core to your customer experience.

In the demo with us Vivek Jain, Piyush Keshwani 
we break down:

✅ What makes a conversational AI platform truly agentic, and why that distinction leads to better automation and outcomes

✅ A simple 5-part framework for assessing vendors across integration depth, workflow control, analytics, product thinking, and CX design

✅ The real-world tradeoffs between building in-house vs. buying—and how to weigh them

✅ Proven tactics for deploying voice AI securely, at enterprise scale, and across industries

✅ How teams across BFSI, logistics, and healthcare are using Voice Owl to automate renewals, loan qualification, onboarding, and support—with measurable ROI 

Whether you're exploring automation for the first time or deep in vendor conversations, this will help you move smarter and faster—with confidence.

Let’s build real voice agents. 
https://lnkd.in/d8tq8NiM

#VoiceOwl #AgenticAI #CustomerExperience #VoiceAI #BFSI #CXAutomation #NoCodeAI #AIPlatform",Text,32,1,2,2mo,Vivek Jain reposted this,Ruchika Drabla Keshwani,https://www.linkedin.com/in/ruchikadrabla,https://www.linkedin.com/in/vivekvjain/,2025-08-23T11:14:00.000Z,,2025-08-06T00:00:00.000Z,,,2025-08-23
https://www.linkedin.com/feed/update/urn:li:activity:7356628120868732929,https://media.licdn.com/dms/image/v2/D4D22AQFMFv2Ff7T9JA/feedshare-shrink_800/B4DZhf.Ps6G8Ag-/0/1753956822172?e=1762992000&v=beta&t=xUKdAT_8B4awQ-B8KCL3gPFCddlBwR6y923O4XVb1SQ,"Excited to present as a #TechPreneur Finalist at Google Ananta!

Grateful for the opportunity to share our journey with leaders from HDFC ERGO General Insurance, ERGO Group AG, Boston Consulting Group (BCG), and Google.

Proud to be building alongside Ruchika Drabla Keshwani, Piyush Keshwani, and the incredible #VoiceOwl team.

#GoogleAnanta #TechPreneur #Innovation #Leadership #GoogleCloud #StartupJourney #HDFCERGO #ERGO 
Backed by Silverneedle Ventures IIMA Ventures",Image,70,15,9,2mo,Post,Vivek Jain,https://www.linkedin.com/in/vivekvjain,https://www.linkedin.com/in/vivekvjain/,2025-08-23T11:14:00.000Z,,2025-07-31T00:00:00.000Z,,,2025-08-23
https://www.linkedin.com/feed/update/urn:li:activity:7354772803851579392,https://media.licdn.com/dms/image/v2/D4D22AQE_bocFQyYp2g/feedshare-shrink_800/B4DZhFm4qyHwAg-/0/1753514479273?e=1762992000&v=beta&t=2ZRp2OI8gBorfq_e53e5yVEEsJ0d1z0PIdh0RkwymvI,"Presenting to Somany Impresa Group the leadership from Hindware Limited, AGI Greenpac and more 

Thank you for the opportunity Shashvat Somany and SIG Tattva | CVC Arm of Somany Impresa Group

VoiceOwl is at fast pace thanx to fantastic team and amazing cofounders Piyush Keshwani Ruchika Drabla Keshwani",Image,65,2,5,2mo,Post,Vivek Jain,https://www.linkedin.com/in/vivekvjain,https://www.linkedin.com/in/vivekvjain/,2025-08-23T11:14:00.000Z,,2025-07-26T00:00:00.000Z,,,2025-08-23
https://www.linkedin.com/feed/update/urn:li:activity:7350522465116110849,https://media.licdn.com/dms/image/v2/D5610AQFcmfit1KxItA/videocover-high/B56ZgI05QZGUBU-/0/1752494742645?e=1761717600&v=beta&t=diUtyduejHUngCj1hqw0TSw_Kv4oiiFLYS4LOywj9_I,"At #SilverneedleVentures, we're proud to back #VisionaryFounders like Vivek Jain, Ruchika Drabla Keshwani, and Piyush Keshwani of VoiceOwl - #India's first #GenerativeAINative #ContactCenterPlatform, built to supercharge #EnterpriseSales, #Marketing, and #Support.

#VoiceOwl is redefining how #Enterprises connect, qualify, and close - with #MultilingualAI #VoiceAgents that handle #LeadGeneration, #RealTimeDataVerification, and #CustomerEngagement at scale. From seamless #IVRNavigation to #10xMoreMeaningfulConversations, this is #DeepTech that drives #MeasurableBusinessOutcomes.

Their #AIPoweredStack is already enabling #200MillionPlusInteractions, #5xRevenueAcceleration, and #60PercentCostOptimization - with #EnterpriseGradeCompliance baked in. The future of #VoiceFirstAutomation isn't just near, it's already speaking your language.",Video (LinkedIn Source),34,1,4,3mo,Vivek Jain reposted this,Silverneedle Ventures,https://www.linkedin.com/company/silverneedle-ventures,https://www.linkedin.com/in/vivekvjain/,2025-07-24T11:14:00.000Z,,2025-07-14T00:00:00.000Z,blob:https://www.linkedin.com/e23bf68b-1520-4179-a39f-718c78b4c4b5,,2025-07-24
https://www.linkedin.com/feed/update/urn:li:activity:7322084953817526272,https://media.licdn.com/dms/image/v2/D5610AQFz52yzV_EPnQ/image-shrink_800/B56ZZiunGnHgAc-/0/1745413108728?e=1761717600&v=beta&t=JKWhqKoKeP04S_tSchCNsXhgVXYvZy8dhnxvywlumb0,"VoiceOwl, a #SilverneedleVentures #portfolio company, is transforming #customerengagement with #GenerativeAI-powered solutions. By automating #contactcenters, #leadverification, and #customersupport, VoiceOwl enables enterprises to focus on higher-value tasks while ensuring #seamlesscommunication across borders in 135+ #languages.

With its innovative #AIdriven platform, VoiceOwl is redefining how #businesses #interact with customers, delivering #efficiency and unparalleled experiences.

#InnovationInAI #CustomerExperience #VoiceAI #AIinBusiness #ScalingStartups #GlobalReach #VentureCapital #AIRevolution",Image,26,0,2,5mo,Vivek Jain reposted this,Silverneedle Ventures,https://www.linkedin.com/company/silverneedle-ventures,https://www.linkedin.com/in/vivekvjain/,2025-05-25T11:14:00.000Z,,2025-04-27T00:00:00.000Z,,,2025-05-25
https://www.linkedin.com/feed/update/urn:li:activity:7313924698864533505,https://media.licdn.com/dms/image/v2/D5605AQH-IjytwXHG5w/videocover-high/B56ZX_ecF3GUBs-/0/1743748014799?e=1761717600&v=beta&t=0ngb72trvkk3A4cU5Un80iQpSArPccDX03LfZ4TaDZY,Three Microsoft CEOs walk into a room on Microsoft’s 50th anniversary … and are interviewed by Copilot!,Video (LinkedIn Source),27294,961,3178,6mo,Vivek Jain reposted this,Satya Nadella,https://www.linkedin.com/in/satyanadella,https://www.linkedin.com/in/vivekvjain/,2025-04-25T11:14:00.000Z,,2025-04-04T00:00:00.000Z,blob:https://www.linkedin.com/f2b16cbc-dbaf-4f41-892f-5d4a81250e07,,2025-04-25
https://www.linkedin.com/feed/update/urn:li:activity:7301067221978509313,https://media.licdn.com/dms/image/v2/D4D05AQElxb7wQe2Ukg/feedshare-thumbnail_720_1280/B4DZVHmJ80HAA8-/0/1740662953474?e=1761717600&v=beta&t=CUXr6OPIRJUiB6bR5_wdrihndvBuulzAc71mkPKfT8k,"Thank you Reserve Bank Innovation Hub (RBIH) and ICICI Bank for the opportunity.

VoiceOwl is set to lead the Voice first Agentic AI enterprise platform for customer experience.",Video (LinkedIn Source),13,1,0,7mo,Post,Vivek Jain,https://www.linkedin.com/in/vivekvjain,https://www.linkedin.com/in/vivekvjain/,2025-03-26T11:14:00.000Z,,2025-02-28T00:00:00.000Z,,https://www.linkedin.com/feed/update/urn:li:activity:7300870219491631104/,2025-03-26
https://www.linkedin.com/feed/update/urn:li:activity:7300695282604740610,,"🚀 VoiceOwl is Hiring Rockstar Node.js Engineers – Are You One of Them?

At VoiceOwl, we’re not just writing code—we’re building AI-powered voice agents that are redefining customer engagement. To do that, we need exceptional Node.js engineers who thrive on solving complex challenges and love pushing boundaries.

Who We’re Looking For

We need best-in-class Node.js engineers with:
🔹 Extensive experience in third-party API integrations – You’ve built complex, seamless connections between services at scale.
🔹 Expertise in streaming & WebSockets – You understand real-time data flows and know how to build low-latency, high-throughput systems.
🔹 Strong algorithmic thinking – You love building intelligent, efficient, and scalable solutions that drive automation and AI-powered decision-making.

📩 If you’re ready to build something groundbreaking, email us at hr@voiceowl.ai.

#Hiring #Nodejs #ProductEngineering #AI #WebSockets #Streaming #APIIntegrations #VoiceTech #RockstarDevelopers #voiceowl 

VoiceOwl Piyush Keshwani Ruchika Drabla Keshwani",Text,10,3,2,7mo,Post,Vivek Jain,https://www.linkedin.com/in/vivekvjain,https://www.linkedin.com/in/vivekvjain/,2025-03-26T11:14:00.000Z,,2025-02-27T00:00:00.000Z,,,2025-03-26
https://www.linkedin.com/feed/update/urn:li:activity:7300365396598022146,,"🚀 VoiceOwl is Hiring the Best Product Engineers – Are You One of Them?

At VoiceOwl, we’re not just building software—we’re pioneering the future of customer experience with Agentic AI voice agents. To achieve this, we need world-class product engineers—builders, innovators, and problem-solvers who are passionate about turning cutting-edge AI into real-world impact.

Why Join Us?

✅ Build AI Agents that are transforming customer experience at scale
✅ Work with a top-tier team of engineers, designers, and AI experts
✅ Own what you build—from ideation to scaling for millions of interactions
✅ Solve complex challenges at the intersection of AI, voice tech, and enterprise solutions

Are You a Rockstar Developer? Show us.

We’re looking for best-in-class engineers who:
🔹 Have built and shipped high-performance, scalable systems
🔹 Thrive in fast-moving environments where innovation is the norm
🔹 Can showcase a challenging problem they’ve solved and their approach
🔹 Have a track record of building impactful products, not just writing code

At VoiceOwl, you won’t just be another engineer—you’ll be shaping the future of AI-powered sales and communication. If that excites you, we want to hear from you!

📩 Email us at hr@voiceowl.ai and let’s build something groundbreaking together.

#Hiring #ProductEngineering #AI #VoiceTech #RockstarDevelopers #VoiceOwl #JoinTheFuture

VoiceOwl Ruchika Drabla Keshwani Piyush Keshwani",Text,34,9,6,7mo,Post,Vivek Jain,https://www.linkedin.com/in/vivekvjain,https://www.linkedin.com/in/vivekvjain/,2025-03-26T11:14:00.000Z,,2025-02-26T00:00:00.000Z,,,2025-03-26
https://www.linkedin.com/feed/update/urn:li:activity:7298881767015419904,,"🚀 VoiceOwl is Hiring – Node.js Developer! 🚀
We’re looking for a Node.js Developer to join our team and help build cutting-edge AI-driven solutions that redefine customer interactions.
What You'll Do:
✔ Develop, maintain, and optimize server-side components for high performance & scalability
✔ Implement real-time data processing using Socket io & WebSockets
✔ Design scalable data architectures with MongoDB or other NoSQL solutions
✔ Collaborate with UI/UX and AI engineers for seamless integration
✔ Ensure robust security measures & authentication protocols (OAuth, JWT, etc.)
✔ Work with Docker/Kubernetes & cloud platforms like Azure/AWS
✔ Stay ahead of the curve with Node.js, microservices, & AI-driven backend systems

📍 Location: Indore
🔹 Experience: 3+ years (Node.js, Express.js, real-time streaming)
🔹 Skills: JavaScript (ES6+), MongoDB/PostgreSQL, async programming, containerization

📩 Interested? Comment, DM, or send your resume to hr@voiceowl.ai!
Know someone perfect for this role? Tag them below! 👇

#Hiring #Node.js #JobOpening
Vivek Jain, Piyush Keshwani, Ruchika Drabla Keshwani",Text,11,2,3,8mo,Vivek Jain reposted this,Bharat Ahuja,https://www.linkedin.com/in/bharatahuja04,https://www.linkedin.com/in/vivekvjain/,2025-02-24T11:14:00.000Z,,2025-02-22T00:00:00.000Z,,,2025-02-24
