postUrl,imgUrl,type,postContent,likeCount,commentCount,repostCount,postDate,action,author,authorUrl,profileUrl,timestamp,viewCount,postTimestamp,sharedPostUrl,videoUrl,sharedJobUrl,approximateDate
https://www.linkedin.com/feed/update/urn:li:activity:7385421183984414720,https://media.licdn.com/dms/image/v2/D4D22AQGZ3KAMvBCLwg/feedshare-shrink_800/B4DZnxEiPZGkAg-/0/1760686129141?e=1762992000&v=beta&t=VrH2lCUpUBSlTUDuu0iqTvfmMgQ4D-zLadO15HIZPGs,Image,"💌 Why Indian Brands Are Sending PR Packages to Brides Who Invite Them

A new trend is quietly redefining the Indian wedding scene.
Brides are sending their wedding invites to brands, and the brands are sending back gifts.

Welcome to the PR Wedding, where emotion meets marketing and love meets luxury. 💫

From Plum, The Body Shop India, and Dot & Key to Forest Essentials, Sula Vineyards, and mCaffeine, Indian brands are embracing this heartfelt marketing shift. Some even curate full-size hampers for couples who send them wedding invites.

So why are brands doing this?
Because weddings are now content ecosystems. Every unboxing, every “getting-ready” story, and every thank-you tag becomes authentic reach, the kind of organic brand love money can’t buy.

💡 How to Apply:
 Most brands accept invites via their PR or community email IDs or through Instagram DMs. A warm, personalized message with your digital wedding invite or card works best. Include your wedding dates, theme, and location, and always tag their official handles once you receive your PR box.
This isn’t about freebies. It’s about connection. When a bride invites a brand, she’s saying, “Be part of my story.” And the brands are listening. 💍

💬 If your brand received a wedding invite tomorrow, would you send a PR box or a blessing?

Siddharth Chaturvedi, Ajeet Kumar, Bhuveer Kodnani, Krina Mehta, Sahita Sao, Riddhima Roychoudhary, Niti Shah, Prisha Mehta, Harini Brahmbhatt

#VoguePerspective #IndianWeddings #WeddingPR #LuxuryMarketing #CulturalEconomy #MadeInIndia #WeddingIndustry #ExperienceEconomy",8,0,3,4d,Siddharth Chaturvedi reposted this,Spreeh,https://www.linkedin.com/company/spreeh,https://in.linkedin.com/in/siddharth-chaturvedi-aa4b69139,2025-10-18T11:00:00.000Z,,2025-10-19T00:00:00.000Z,,,,2025-10-18
https://www.linkedin.com/feed/update/urn:li:activity:7382045255417753601,https://media.licdn.com/dms/image/v2/D5622AQGvQwDby-khFw/feedshare-shrink_1280/B56ZnJHDtwI0As-/0/1760015695371?e=1762992000&v=beta&t=ppVc94IhzijE3k5gmiC8ysg89C8e7lZ8T9DFuMarmQ0,Image,Proud of the work our team has achieved in such a short period of time 🚀,10,0,0,1w,Post,Siddharth Chaturvedi,https://www.linkedin.com/in/siddharth-chaturvedi-aa4b69139,https://in.linkedin.com/in/siddharth-chaturvedi-aa4b69139,2025-10-15T11:00:00.000Z,,2025-10-09T00:00:00.000Z,https://www.linkedin.com/feed/update/urn:li:activity:7382040878304911360/,,,2025-10-15
https://www.linkedin.com/feed/update/urn:li:activity:7378379611992207360,https://media.licdn.com/dms/image/v2/D4D22AQGmxiJx22PSAw/feedshare-shrink_800/B4DZmUoFMAJIAg-/0/1759135166129?e=1762992000&v=beta&t=J_wcVOM2WAKP-ngw4-_0DAg-2XYAhviOqc31HptJguk,Image,"🌿 The Sustainability Blind Spot: Post-Wedding Waste

The day after the wedding rarely feels like happily-ever-after. It looks more like heaps of waste.

It’s the part of weddings no one puts on Instagram, wilted flowers dumped into landfills, leftover food scraped into bins, and décor dismantled in haste. The Indian wedding industry produces over 1 million tonnes of food waste annually, and floral décor alone contributes to 15–20% of event waste streams.

We’ve perfected the idea of “eco-friendly weddings” in décor sourcing, sustainable outfits, and digital invites. Yet the blind spot remains: what happens after the music stops.

✨ Here’s how the industry can turn the tide:

➡️ Repurpose flowers: Tie-ups with companies that recycle blooms into incense, organic colors, dyeing of sarees, or compost.

➡️ Food redistribution: Partner with NGOs like Robin Hood Army or Feeding India to channel surplus food to communities in need.

➡️ Circular décor: Modular installations that can be rented, reused, and reimagined across multiple events.

➡️ Waste audits: Professional tracking of post-event waste to create accountability and improve practices.

Sustainability in weddings goes beyond the vows; it’s in what you leave behind. 
Because luxury isn’t just in how weddings look, it’s in how responsibly they leave their mark.

Siddharth Chaturvedi, Ajeet Kumar, Bhuveer Kodnani, Krina Mehta, sahita sao, Riddhima Roychoudhary, Niti Shah, Prisha Mehta, Harini Brahmbhatt

#WeddingIndustry #SustainableLuxury #EcoWeddings #CircularEconomy #WeddingTrends #LuxuryWeddings #Spreeh",14,0,4,3w,Siddharth Chaturvedi reposted this,Spreeh,https://www.linkedin.com/company/spreeh,https://in.linkedin.com/in/siddharth-chaturvedi-aa4b69139,2025-09-30T11:00:00.000Z,,2025-09-29T00:00:00.000Z,,,,2025-10-01
https://www.linkedin.com/feed/update/urn:li:activity:7377244132072853504,https://media.licdn.com/dms/image/v2/D5622AQFKPFqdqSZ_Rw/feedshare-shrink_800/B56ZmE5g.mJoAg-/0/1758871300318?e=1762992000&v=beta&t=gMRcSDYH-wfFKWYWHRvuUk5zvRLrq56EATOslY3ayvI,Image,"📊 India’s luxury rental market has exploded, 178% in just three years. And at the heart of this revolution? The bridal lehenga.

Once a symbol of permanence, a family heirloom folded into trunks of silk and memory, bridal couture is now being rewritten. Millennials and Gen Z brides are choosing access over ownership, glamour without guilt, couture without compromise. Renting a Sabyasachi, Falguni Shane Peacock, or Manish Malhotra lehenga is no longer taboo; it’s the new frontier of luxury.

✨ Here’s what this shift means for the wedding fashion industry:

➡️ Democratization of couture: Brides in Tier-2 and Tier-3 cities now walk down the aisle in global couture once limited to elite circles.

➡️ New business models: Designers are pivoting to “bridal-as-a-service”, rentals, resale platforms, and modular designs extending a garment’s lifecycle.

➡️ Cultural evolution: Heirlooms are still sacred, but modern brides balance legacy with pragmatism, pairing a grandmother’s Banarasi with a rented couture lehenga.

➡️ Sustainability as luxury: With fashion contributing 10% of global carbon emissions (United Nations Environmental Programme), rentals align indulgence with responsibility. Eco-consciousness has become the new definition of elegance.

At Spreeh, we see this not as a trend but a renaissance. Because the future of bridal couture isn’t about what you own, it’s about how you experience, repurpose, and reimagine luxury.

Siddharth Chaturvedi, Ajeet Kumar, Bhuveer Kodnani, Krina Mehta, sahita sao, Riddhima Roychoudhary, Niti Shah, Prisha Mehta, Harini Brahmbhatt

#WeddingIndustry #LuxuryWeddings #BridalFashion #CircularFashion #SustainableLuxury #WeddingTrends #Spreeh",13,0,4,3w,Siddharth Chaturvedi reposted this,Spreeh,https://www.linkedin.com/company/spreeh,https://in.linkedin.com/in/siddharth-chaturvedi-aa4b69139,2025-09-30T11:00:00.000Z,,2025-09-26T00:00:00.000Z,,,,2025-10-01
https://www.linkedin.com/feed/update/urn:li:activity:7375808268679442432,https://media.licdn.com/dms/image/v2/D4D05AQHwizXBH1Xrlw/videocover-low/B4DZlwY3KIHsB4-/0/1758527201605?e=1761717600&v=beta&t=gnf9Q2FVeeNydKOYDFhG445R42mXzpubnRW09cel5_g,Video (LinkedIn Source),"Something we have been working for a while now. Say hello to Chekhmate, your perfect wedding planning partner.",8,0,1,4w,Post,Siddharth Chaturvedi,https://www.linkedin.com/in/siddharth-chaturvedi-aa4b69139,https://in.linkedin.com/in/siddharth-chaturvedi-aa4b69139,2025-09-22T11:00:00.000Z,,2025-09-22T00:00:00.000Z,https://www.linkedin.com/feed/update/urn:li:activity:7375797691123003393/,blob:https://www.linkedin.com/8510b46a-ff1e-4e9c-acdc-f67b9e8bc8a0,,2025-09-24
https://www.linkedin.com/feed/update/urn:li:activity:7346097198343815169,,Text,"Indian destination weddings are beautiful.
What you don’t see? The madness it takes to pull them off.

3 days. 5 venues. 500+ guests flying in from 7 countries.
50+ vendors. 100+ rooming requests. And endless coordination — still happening on WhatsApp. 💬

📊 In 2024, 26% of weddings in India were destination-based, up from 18% just two years ago.
That number will only rise 🔺

Destination weddings are no longer a niche.
They’re the default for the next generation.
And with them comes more pressure, more complexity, and sky-high expectations for planners and families alike.

⚙️ This isn’t just a growing category — it’s a high-stakes ecosystem that can no longer run on jugaad.

🚀 At Spreeh, we’re getting started — building the backbone for modern wedding planning.

Siddharth Chaturvedi Ajeet Kumar Bhuveer Kodnani Harini Brahmbhatt Niti Shah Riddhima Roychoudhary Prisha Mehta 

#DestinationWeddings #WedTech #IndianWeddings #WeddingPlanner #WeddingPlannersOfIndia #LuxuryWeddings #StartupLife",32,0,4,3mo,Siddharth Chaturvedi reposted this,Krina Mehta,https://www.linkedin.com/in/krina-mehta,https://in.linkedin.com/in/siddharth-chaturvedi-aa4b69139,2025-07-24T11:00:00.000Z,,2025-07-02T00:00:00.000Z,,,,2025-07-24
https://www.linkedin.com/feed/update/urn:li:activity:7340332304591941633,,Text,Rational Equity is actively #hiring! Know anyone who might be correct for this role?,19,2,3,4mo,Siddharth Chaturvedi reposted this,Jaba Misra,https://www.linkedin.com/in/jaba-misra-82b1077b,https://in.linkedin.com/in/siddharth-chaturvedi-aa4b69139,2025-06-24T11:00:00.000Z,,2025-06-16T00:00:00.000Z,,,https://www.linkedin.com/jobs/view/4249143492/,2025-06-24
https://www.linkedin.com/feed/update/urn:li:activity:7336372101500604416,,Text,"The Indian wedding industry is a ₹2.5L Cr machine. 
📲 And it’s still running on WhatsApp. 

500+ guests. 50+ vendors. 3-day celebrations across multiple venues.
And somehow, it’s all held together by jugaad, memory, and spreadsheets.

💵 Families spend ₹50L to ₹5Cr on a single wedding — sometimes 20-25% of their lifetime savings — without a single system to manage the madness.

Despite the scale, weddings are still planned like college group projects:
📍 Guest lists in Excel
📍 Rooming in Google Sheets
📍 Itineraries in PDFs
📍 Communication across 8-15 different WhatsApp groups

This isn’t just an emotional event. It’s a high-stakes production.
And the industry deserves better infrastructure. 

🚀 At Spreeh, we’re just getting started, building the backbone for modern wedding planning.

Siddharth Chaturvedi Ajeet Kumar Bhuveer Kodnani Niti Shah Jia Patel Prisha Mehta 

#WeddingTech #IndianWeddings #PlannerTools #WeddingPlanners #CulturalTech #SaaSIndia #StartupLife",46,2,4,4mo,Siddharth Chaturvedi reposted this,Krina Mehta,https://www.linkedin.com/in/krina-mehta,https://in.linkedin.com/in/siddharth-chaturvedi-aa4b69139,2025-06-24T11:00:00.000Z,,2025-06-05T00:00:00.000Z,,,,2025-06-24
https://www.linkedin.com/feed/update/urn:li:activity:7334468753000181760,https://media.licdn.com/dms/image/v2/D5622AQHI4FY-ksTJeA/feedshare-shrink_800/B56Zck8_x9GQAg-/0/1748671660558?e=1762992000&v=beta&t=RiSBCh7IkqTpmxn1FcjaQWfI_2ASp2Qm7CtYxttP7Ho,Image,"Signing Off from Spreeh with a Full Heart and Countless Memories ✨

When I first joined Spreeh as a trainee and intern 10 months ago, I walked in slightly unsure, a little under-confident but full of curiosity and excitement. Today, I leave with a stronger voice, sharper skills, and the kind of confidence that only comes from learning by doing.

From writing blogs and creating content to curating reels every project was an opportunity to grow, challenge myself, and rediscover my creative spark. 

One moment I’ll never forget? The Band Baaja Blunder shoot over 60 videos in just two days. It was chaotic, energizing, and hands down one of the most creatively fulfilling experiences I’ve had.

Another highlight was witnessing Spreeh’s Instagram journey going from 50K to 100K followers and being in the middle of all the planning, posting, and passion that helped it grow.

A heartfelt thank you to Siddharth Chaturvedi for fostering a culture that celebrates fresh ideas, initiative, and originality. Your trust gave me the space to experiment and evolve.

To my mentors, Krina Mehta and Nandini Patel thank you for your constant guidance, clarity, and belief in my potential. You’ve deeply shaped the way I approach marketing and storytelling today.

And to my incredible teammates Keertana Nair Preeyana Vira Harini Brahmbhatt Bhuveer Kodnani Suramya Srivastava Niti Shah thank you for all the collaboration, laughter, and support. You made every day memorable.

As I step into new opportunities, I carry with me everything this chapter has taught me professionally and personally. I’m leaving with more confidence, experience, and a whole lot of gratitude.

Here’s to Spreeh, to growth, and to exciting new beginnings. 💌

#Gratitude #InternshipJourney #Spreeh #ContentCreation #Marketing #Teamwork #50Kto100K #LearningAndGrowing #NewBeginnings",80,20,1,4mo,Siddharth Chaturvedi reposted this,Jia Patel,https://www.linkedin.com/in/jia-patel-1864222b2,https://in.linkedin.com/in/siddharth-chaturvedi-aa4b69139,2025-06-24T11:00:00.000Z,,2025-05-31T00:00:00.000Z,,,,2025-06-24
https://www.linkedin.com/feed/update/urn:li:activity:7323309802661511168,,Text,"100K followers on Instagram. 20-30 Million Monthly reach. Zero paid marketing

We just crossed a milestone at Spreeh — 100K wedding lovers, planners, and soon-to-be brides and grooms, all part of a community that’s grown organically, post by post, reel by reel, story by story.

No gimmicks. No bots. Just consistency and curation.

From the beginning, we’ve focused on what really matters:

Bridal fashion that actually inspires
Jewellery ideas worth screenshotting
Dreamy decor walkthroughs
Planning hacks from the pros
Entertainment, grooming, and venue ideas for every kind of celebration

We’ve hit 30M+ monthly reach, sparked thousands of saves, shares, and conversations — and more importantly, built trust in a space that’s chaotic, emotional, and high-stakes for every couple.

If you’ve ever shared our content with a bride-to-be, found a wedding idea through us, or just followed for the sheer joy of it — thank you.

The best of Spreeh is yet to come 💫

Ajeet Kumar Bhuveer Kodnani Krina Mehta Harini Brahmbhatt Nandini Patel Jia Patel Keertana Nair Niti Shah 


#Spreeh #100KStrong #WeddingInspo #IndianWeddings #BridalFashion #WeddingPlanning #JewelleryInspo #ContentMilestone #OrganicGrowth",44,4,8,5mo,Post,Siddharth Chaturvedi,https://www.linkedin.com/in/siddharth-chaturvedi-aa4b69139,https://in.linkedin.com/in/siddharth-chaturvedi-aa4b69139,2025-05-25T11:00:00.000Z,,2025-04-30T00:00:00.000Z,,,,2025-05-25
